match_id,season,match_date,league,home_team,away_team,home_score,away_score,possession_home,possession_away,shots_home,shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,corners_home,corners_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,fouls_home,fouls_away,offsides_home,offsides_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goalkeeper_saves_home,goalkeeper_saves_away,Computed_Home_Elo,Computed_Away_Elo,Computed_Elo_Diff,Computed_HFA,Home_RestDays,Home_Shots_5,Home_SoT_5,Home_Corners_5,Home_Poss_5,Home_Goals_5,Home_Conceded_5,Home_Points_5,Home_YellowCards_5,Home_Saves_5,Away_RestDays,Away_Shots_5,Away_SoT_5,Away_Corners_5,Away_Poss_5,Away_Goals_5,Away_Conceded_5,Away_Points_5,Away_YellowCards_5,Away_Saves_5,Home_H2H_Pts_3,Away_H2H_Pts_3,Odd_Home,Odd_Draw,Odd_Away
YL27Veyk,2020,2020-08-21 18:15:00,,FC Arges,FC Botosani,2,3,47.0,53.0,4.0,12.0,4.0,8.0,0.0,4.0,2.0,3.0,3,2,0,0,17.0,18.0,3.0,4.0,22.0,20.0,17.0,20.0,5.0,2.0,1200.0,1200.0,50.0,50.0,7.0,,,,,,,,,,7.0,,,,,,,,,,,,3.93,3.23,1.93
UmdGTZ51,2020,2020-08-22 15:30:00,,FC Viitorul,UTA Arad,1,1,50.0,50.0,13.0,6.0,5.0,1.0,8.0,5.0,7.0,3.0,1,1,0,0,12.0,17.0,4.0,1.0,18.0,16.0,19.0,23.0,0.0,4.0,1200.0,1200.0,49.14280532388739,49.14280532388743,7.0,,,,,,,,,,7.0,,,,,,,,,,,,1.39,4.54,7.1
dfl2iwb8,2020,2020-08-22 18:00:00,,Sepsi Sf. Gheorghe,Univ. Craiova,0,1,,,11.0,5.0,4.0,3.0,7.0,2.0,12.0,4.0,2,2,0,0,16.0,10.0,4.0,1.0,11.0,20.0,32.0,25.0,2.0,4.0,1200.0,1200.0,49.03742388707542,49.037423887075384,7.0,,,,,,,,,,7.0,,,,,,,,,,,,3.63,3.21,2.02
8veKSgL7,2020,2020-08-22 21:00:00,,Astra Giurgiu,FCSB,0,3,42.0,58.0,4.0,22.0,3.0,11.0,1.0,11.0,5.0,6.0,3,3,0,0,16.0,18.0,0.0,0.0,18.0,16.0,10.0,17.0,8.0,3.0,1200.0,1200.0,48.18226545273615,48.18226545273606,7.0,,,,,,,,,,7.0,,,,,,,,,,,,3.92,3.41,1.88
va33WyMr,2020,2020-08-23 16:00:00,,Poli Iasi,Chindia Targoviste,1,0,56.0,44.0,7.0,10.0,4.0,2.0,3.0,8.0,0.0,6.0,1,3,0,0,9.0,13.0,1.0,0.0,13.0,10.0,22.0,22.0,2.0,3.0,1200.0,1200.0,46.70422319325144,46.70422319325143,7.0,,,,,,,,,,7.0,,,,,,,,,,,,2.31,3.03,3.13
dv0vxbbL,2020,2020-08-23 18:00:00,,LPS HD Clinceni,CFR Cluj,1,2,40.0,60.0,7.0,11.0,1.0,4.0,6.0,7.0,2.0,5.0,3,4,0,0,14.0,17.0,2.0,0.0,17.0,16.0,20.0,23.0,2.0,0.0,1200.0,1200.0,47.35400694082159,47.35400694082159,7.0,,,,,,,,,,7.0,,,,,,,,,,,,8.74,4.35,1.36
nP6BUFje,2020,2020-08-24 18:00:00,,FC Voluntari,Gaz Metan Medias,2,1,50.0,50.0,9.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,5,3,0,0,25.0,17.0,3.0,0.0,17.0,28.0,24.0,20.0,0.0,3.0,1200.0,1200.0,46.50241340755201,46.50241340755198,7.0,,,,,,,,,,7.0,,,,,,,,,,,,2.05,3.18,3.62
xjHyyIDR,2020,2020-08-24 21:00:00,,Dinamo Bucuresti,FC Hermannstadt,1,1,,,11.0,7.0,8.0,2.0,3.0,5.0,4.0,4.0,2,3,0,0,10.0,22.0,0.0,1.0,23.0,10.0,15.0,22.0,1.0,7.0,1200.0,1200.0,47.15262505145711,47.15262505145722,7.0,,,,,,,,,,7.0,,,,,,,,,,,,2.49,3.02,2.85
l0qK42jF,2020,2020-08-28 18:00:00,,Gaz Metan Medias,FC Arges,2,0,48.0,52.0,5.0,6.0,3.0,3.0,2.0,3.0,1.0,5.0,1,3,0,0,16.0,19.0,3.0,5.0,24.0,19.0,28.0,32.0,3.0,1.0,1191.3305114145967,1188.5707376518324,49.811232055580376,47.05145829281616,4.0,,,,,,,,,,6.0,,,,,,,,,,,,2.06,3.17,3.59
fwpG5ry9,2020,2020-08-28 21:00:00,,UTA Arad,FC Voluntari,0,0,,,6.0,9.0,2.0,2.0,4.0,7.0,2.0,4.0,2,1,0,0,13.0,9.0,2.0,2.0,11.0,15.0,17.0,26.0,2.0,2.0,1201.4050858241606,1208.6694885854033,40.69668408583061,47.96108684707349,6.0,,,,,,,,,,4.0,,,,,,,,,,,,2.34,3.17,2.96
