team_name,team_short_name,stadium_name,logo_asset
Argeș Pitești,FC Argeș,Orășenesc Stadium (Mioveni),assets/teams/arges_pitesti.png
Botoșani,FC Botoșani,Stadionul Municipal,assets/teams/botosani.png
CFR Cluj,CFR Cluj,Dr. Constantin Rădulescu Stadium,assets/teams/cfr_cluj.png
Csíkszereda Miercurea Ciuc,FK Csíkszereda,Municipal Stadium,assets/teams/csikszereda.png
Dinamo București,Dinamo,Arcul de Triumf Stadium,assets/teams/dinamo_bucuresti.png
Farul Constanța,Farul,Central Stadium,assets/teams/farul_constanta.png
FCSB,FCSB,Arena Națională,assets/teams/fcsb.png
Hermannstadt,Hermannstadt,Sibiu Municipal Stadium,assets/teams/hermannstadt.png
Metaloglobus București,Metaloglobus,Clinceni Stadium,assets/teams/metaloglobus.png
Oțelul Galați,Oțelul Galați,Oțelul Stadium,assets/teams/otelul_galati.png
Petrolul Ploiești,Petrolul,Ilie Oană Stadium,assets/teams/petrolul_ploiesti.png
Rapid București,Rapid,Rapid-Giulești Stadium,assets/teams/rapid_bucuresti.png
Universitatea Cluj,U Cluj,Cluj Arena,assets/teams/universitatea_cluj.png
Universitatea Craiova,U Craiova,Ion Oblemenco Stadium,assets/teams/universitatea_craiova.png
UTA Arad,UTA Arad,Francisc von Neuman Stadium,assets/teams/uta_arad.png
Unirea Slobozia,Unirea Slobozia,Clinceni Stadium,assets/teams/unirea_slobozia.png
