team_name,stadium_name
Argeș Pitești,Orășenesc Stadium (Mioveni)
Botoșani,Stadionul Municipal
CFR Cluj,Dr. Constantin Rădulescu Stadium
Csíkszereda Miercurea Ciuc,Municipal Stadium
Dinamo București,Arcul de Triumf Stadium
Farul Constanța,Central Stadium
FCSB,Arena Națională
Hermannstadt,Sibiu Municipal Stadium
Metaloglobus București,Clinceni Stadium
Oțelul Galați,Oțelul Stadium
Petrolul Ploiești,Ilie Oană Stadium
Rapid București,Rapid-Giulești Stadium
Universitatea Cluj,Cluj Arena
Universitatea Craiova,Ion Oblemenco Stadium
UTA Arad,Francisc von Neuman Stadium
Unirea Slobozia,Clinceni Stadium
